排名,代號,名稱,市場,產業,新部位建議,既有部位建議,既有部位說明,分數,信心度,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,2027,大成鋼,TWSE,鋼鐵工業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若跌破60日EMA約 40.41 且法人籌碼轉弱，再改為減碼。,79.3,100,41.15,41.15,43.73,30.28,18.07,41.61,366.04,1.17,11.83,1.2,3.71,8,1104,2097,4302,7971,39092,2480,-581.8,24312.984,19366.5,16249.607,-3,2100.683,4812.032000000001,35243.419,2,3,84972627,970.2620000000002,2786.5689999999995,20.63,-1312,21486,11856,-22469,-1291.8,21242.038999999997,11767.898999999994,-20626.175000000007,52.47,71.42,60.48,93.3,false,false,1.05,5.24,20日趨勢尚未上彎；ETF加碼金額或跨基金共識不足；內部人最高設質比例達50%以上
2,3706,神達,TWSE,電腦及週邊設備業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若跌破60日EMA約 87.09 且法人籌碼轉弱，再改為減碼。,77.3,100,91.3,91.3,80.93,44.8,3.72,50.24,171.44,1.1,16.87,1.77,4.52,15,1777,3358,3330,11966,43928,539,2020.592,1109.012,-2959.888999999999,-3997.7219999999998,1775,3611,12240,44205,3,2,319212400,-316.9349999999999,-1963.35,7.64,1099,413,-6266,-36012,340.356,-2185.053,-13236.538999999999,-45449.49199999999,56.27,48.51,45.07,55.39,true,false,2.5,1.78,
3,2357,華碩,TWSE,電腦及週邊設備業,等待確認,暫停加碼／守防線,已有部位暫停加碼，以60日EMA約 699.36 為趨勢防守參考；若收盤持續跌破且籌碼再惡化，轉為減碼。,74.1,100,736,736,55.63,38.85,5.71,52.83,148.3,13.19,12.29,1.78,6.1,43,205,-23,341,-496,-548,97,470.167,4748.322,14428.567000000001,8355.782000000001,-344.513,-805.388,-2095.715,-3471.3059999999996,1,4,-554106944,1254.623,1355.4660000000001,35.5,292,3932,15142,11991,462.152,4299.0869999999995,15168.815999999999,12039.937,55.16,70.1,64.99,80.32,true,true,3.47,4.69,投信5/10日持續且具金額意義的賣超；20日趨勢尚未上彎
4,3702,大聯大,TWSE,電子通路業,等待確認,暫停加碼／守防線,已有部位暫停加碼，以60日EMA約 107.04 為趨勢防守參考；若收盤持續跌破且籌碼再惡化，轉為減碼。,73.6,100,111.5,111.5,131.85,55.18,2.68,80.68,123.6,3.3,13,1.99,3.57,31,2404,1450,2577,7041,54070,1080,-737.727,-9937.094,-11785.005999999998,-20726.819999999996,1630,1663.861,4496.261,50474.536,3,2,177201197,2522.382,2240.2560000000003,35.32,-2692,-14810,-20625,-71197,-2645.487,-14123.337,-18521.522999999997,-69022.06900000002,51.47,36.87,45.97,18.68,false,true,0.8,-6.69,外資持股5/10日下降，且外資5日賣超；內部人最高設質比例達50%以上
5,2637,慧洋-KY,TWSE,航運業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若跌破60日EMA約 76.80 且法人籌碼轉弱，再改為減碼。,73,100,81.1,81.1,57.92,32.32,27.6,40.19,109.87,1.6,11.13,1.17,4.42,7,14,37,34,-596,-1367,0,184.144,633.501,13979.935,14057.46,12.787,330.78700000000003,1567.722,986.726,5,0,26165252,-260.072,43.492999999999995,24.76,297,618,13059,13543,300.092,562.786,12368.72,13252.488000000001,56.15,37.77,51.64,10.04,false,false,1.99,-3.22,內部人最高設質比例達50%以上
6,1590,亞德客-KY,TWSE,電機機械,等待確認,續抱觀察,"已有部位可續抱觀察，但暫不追價；若跌破60日EMA約 1,325.71 且法人籌碼轉弱，再改為減碼。",72.3,100,1360,1360,44.88,30.08,33.2,17.79,280.31,13.35,29.23,5.25,2.18,17,157,252,271,308,623,91,-192.667,158.219,633.239,1363.4870000000003,156,282.692,317.196,619.217,5,0,377393820,5.457000000000001,-18.049,80.72,-344,-7,451,947,-375.324,-129.93,334.092,801.3770000000002,51.86,52.55,37.85,81.94,true,true,1.53,5.43,20日趨勢尚未上彎；內部人最高設質比例達50%以上
7,2812,台中銀,TWSE,金融保險業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若跌破60日EMA約 19.99 且法人籌碼轉弱，再改為減碼。,71.9,100,20.45,20.45,16.56,22.61,,90.8,,0.4,13.13,1.31,5.21,7,0,2866,2851,2786,2696,0,-2465.297,24180.085,38464.77900000001,77780.871,-3,2833.482,2790.272,2746.043,1,4,57661359,333.368,-5.632000000000005,8.95,-2748,21848,33109,70323,-2646.296,21013.235,35680.139,74672.903,57.09,45.88,50.82,36,false,false,0.89,-0.24,ETF加碼金額或跨基金共識不足
8,9945,潤泰新,TWSE,其他,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若跌破60日EMA約 25.82 且法人籌碼轉弱，再改為減碼。,71.5,100,26.65,26.65,29.57,40.43,17.71,41.18,181.95,0.99,7.42,0.66,4.17,5,0,0,0,-182,2151,0,2127.721,11254.766,10059.009999999998,-8369.025000000003,0,0,-182,2151,0,0,0,139.73100000000002,206.51300000000003,6.99,2576,11081,3603,-16084,2051.893,11115.035000000002,10034.497000000001,-10483.124,56.2,67.18,55.37,90.81,false,false,1.65,3.09,20日趨勢尚未上彎；單季稅前獲利對營業外貢獻依賴偏高
9,6177,達麗,TWSE,建材營造,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若跌破60日EMA約 46.10 且法人籌碼轉弱，再改為減碼。,71.4,100,47.55,47.55,1322.16,667.77,43.14,72.12,139.8,3.53,6.34,1.76,6.34,2,0,0,0,-15,1891,0,100.413,2769.2569999999996,3681.9849999999997,127.29500000000007,323,560,545.81,2451.114,3,0,26516000,109.444,81.15,6.92,-282,1581,2474,-2295,-243.587,2099.813,3055.025,-3012.2929999999997,58.91,65.76,64.67,67.95,false,false,2.43,3.37,20日趨勢尚未上彎
10,2395,研華,TWSE,電腦及週邊設備業,等待確認,暫停加碼／守防線,已有部位暫停加碼，以60日EMA約 476.20 為趨勢防守參考；若收盤持續跌破且籌碼再惡化，轉為減碼。,70.3,100,567,567,73.39,32.18,18.29,40.64,165.38,3.85,40.03,9.03,2.16,29,486,1271,1402,1625,2673,391,-85.764,161.95700000000002,1314.688,4908.7880000000005,399.084,1222.356,1354.251,2067.071,4,1,630735696,168.957,331.926,35.6,-304,-1131,-267,2350,-582.543,-1229.3560000000002,-371.48900000000026,2451.9419999999996,65.75,46.35,45.19,48.68,true,false,9.3,7.18,外資持股5/10日下降，且外資5日賣超
