排名,代號,名稱,市場,產業,新部位建議,既有部位建議,既有部位說明,分數,信心度,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,2357,華碩,TWSE,電腦及週邊設備業,可開始承接,續抱／回測可加碼,已有部位可續抱；回測20日EMA約 740.19 且ETF、外資與投信未轉弱時，才考慮下一批。,77.3,100,810,810,55.63,38.85,5.71,52.83,148.3,13.19,13.17,1.91,5.7,43,863,1372,1932,1244,500,1,-700.586,2906.3759999999997,10537.885999999999,24301.403,554.834,1197.223,-645.164,-2519.6479999999997,4,1,882353351,245.04499999999996,1259.378,36.64,-282,1959,24114,,-1227.176,1464.1080000000002,9923.672,26090.032,63.64,78.23,74.65,85.39,true,false,9.43,5.06,
2,2027,大成鋼,TWSE,鋼鐵工業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 41.19 且法人籌碼轉弱，先減碼三分之一。,76.5,100,43.2,43.2,43.73,30.28,18.07,41.61,366.04,1.17,12.78,1.3,3.43,9,235,1962,1609,9275,16708,1810,-152.51,8699.897,48147.320999999996,69161.229,4958.85,5672.85,11136.767000000002,43341.193,2,3,247903545,312.56000000000006,3137.092,21.82,-5208,2782,40662,,-5172.499,2714.487,33873.462,19884.531999999996,55.59,61.2,65.54,52.51,false,false,2.23,-0.8,ETF加碼金額或跨基金共識不足
3,2615,萬海,TWSE,航運業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 81.00 且法人籌碼轉弱，先減碼三分之一。,74.1,100,84.7,84.7,32.7,6.39,17.32,31.69,396.45,2.73,7.79,0.83,3.55,11,56,136,288,-158,522,0,342.677,14485.152,37443.891,56765.51100000001,64.255,325.865,-122.721,388.24399999999997,4,0,27503006,-229.31399999999996,-384.6829999999999,44.53,343,13705,48898,,343.891,14388.601,37951.295000000006,56541.88,56.63,57.08,61.35,48.53,false,false,2.21,-2.64,
4,3702,大聯大,TWSE,電子通路業,等待確認,暫停加碼／跌破減碼,已有部位暫停加碼；若收盤跌破60日EMA約 108.47，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,73.6,100,112.5,112.5,131.85,55.18,2.68,80.68,123.6,3.3,12.88,1.97,3.6,31,226,864,7107,15882,27489,97,1478.978,-633.333,3713.711,-7647.18,32,6606.446,13841.395,48122.279,5,0,696980053,335.22300000000007,2938.978,34.81,1393,-7067,-25503,,1257.505,-7575.0019999999995,-13066.661999999997,-58318.308999999994,51.22,39.56,43.41,31.85,false,false,0.8,-4.26,外資持股5/10日下降，且外資5日賣超
5,9945,潤泰新,TWSE,其他,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 25.94 且法人籌碼轉弱，先減碼三分之一。,73.3,100,27.05,27.05,29.57,40.43,17.71,41.18,181.95,0.99,7.5,0.67,4.12,5,-4,-4,31,26,-348,0,4230.064,11890.289,19978.591000000004,15104.614000000003,-4,31,26,-327,2,1,827700,157.437,-15.808999999999969,7.56,4400,11781,23709,,4156.689,11701.851999999999,19968.4,15368.005,59.92,59.57,52.23,74.27,true,false,2.77,3.64,ETF 1/3日已轉為減碼；20日趨勢尚未上彎；ETF加碼金額或跨基金共識不足；單季稅前獲利對營業外貢獻依賴偏高
6,2887,台新新光金,TWSE,金融保險業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 31.08 且法人籌碼轉弱，先減碼三分之一。,73.2,100,35.95,35.95,329.5,334.28,,93.39,,0.82,16.25,1.45,3.32,34,8353,25823,26479,189060,254868,9,12225.787,25303.716,29306.833,141357.95700000002,-500.268,5737.138999999999,111289.286,185645.57100000005,3,2,190186158,17845,33015.917,22.93,14723,8806,-145372,,10702.247,1721.5770000000011,-114998.37,-88142.994,62.45,51.75,37.72,79.81,true,false,5.37,5.27,借券賣出與借券賣出餘額壓力升高；官方重大訊息出現高風險關鍵字，須查原文
7,2610,華航,TWSE,航運業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 20.89 且法人籌碼轉弱，先減碼三分之一。,72.8,100,22.4,22.4,28.82,16.09,11.29,70.94,74.06,0.85,8.48,1.29,3.73,16,-11,1130,5931,25124,53212,0,1235.058,87743.87800000001,96835.52600000001,69424.473,12.409,6015.409,25202.392,7980.697999999995,5,0,130534375,452.5139999999999,-517.4860000000001,16.36,688,72185,119636,,991.286,81275.955,72150.62,65099.08500000001,59.87,70.7,58.44,95.22,false,false,4.32,9.27,20日趨勢尚未上彎
8,6214,精誠,TWSE,資訊服務業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 135.80 且法人籌碼轉弱，先減碼三分之一。,72.2,100,154,154,76.9,37,4.94,47.39,168.59,2.64,15.04,2.05,4.18,7,5,5,7,-1,-5,0,343.941,1801.7589999999998,2703.897,6903.777,5.802,7.044,-0.4660000000000002,479.928,2,0,1010814,35.547,60.55899999999999,14.46,363,1412,5371,,348.723,1759.168,2643.8039999999996,6338.233999999999,68.87,81.07,72.73,97.75,false,false,8.68,10.39,
9,2618,長榮航,TWSE,航運業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 40.03 且法人籌碼轉弱，先減碼三分之一。,72.1,100,43.3,43.3,26.58,16.36,18.64,63.19,112.11,1.53,7.92,1.67,4.79,29,625,2539,4071,-17334,-9130,1,31560.78,115600.577,158303.17100000003,371736.11699999997,-18.602,-370.0009999999998,-27023.736,-23187.956,3,2,-15447542,2820.7149999999992,5382.841999999999,29.83,30683,114376,415949,,30788.518,113149.863,179944.065,394663.6699999999,59.08,60.71,53.35,75.42,true,true,3.75,6.39,20日趨勢尚未上彎
10,2347,聯強,TWSE,電子通路業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 86.96 且法人籌碼轉弱，先減碼三分之一。,71.6,100,93.7,93.7,135.45,77.39,2.67,67.19,132.14,1.77,14.97,1.83,4.88,23,271,1148,1174,-10002,7779,0,353.887,1707.5,9538.297,9085.369,63,636,-12183.124,3249.4079999999994,5,0,54759600,633.9159999999999,2099.6059999999998,29.31,209,-359,19063,,230.719,437.58399999999983,19621.815,7965.851999999999,61.13,64.73,59.4,75.4,true,true,6.36,5.76,20日趨勢尚未上彎
