排名,代號,名稱,市場,產業,新部位建議,既有部位建議,既有部位說明,分數,信心度,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,2324,仁寶,TWSE,電腦及週邊設備業,可開始承接,續抱／回測可加碼,已有部位可續抱；回測20日EMA約 36.03 且ETF、外資與投信未轉弱時，才考慮下一批。,71.7,87.9,36.95,36.95,58.38,15.82,,,,,27.82,1.23,2.97,12,409,2473,3755,5017,3012,1503,14210.157,44699.262,65432.952000000005,101823.95700000001,417,1900.535,2296.325,-6505.625000000001,5,0,70319795,1326.467,1024.569,36.71,14144,85869,99156,,13719.705,41472.26,62112.058000000005,100402.821,54.76,68.86,58.69,89.2,true,false,2.57,6.03,
2,2603,長榮,TWSE,航運業,可開始承接,續抱／回測可加碼,已有部位可續抱；回測20日EMA約 201.87 且ETF、外資與投信未轉弱時，才考慮下一批。,68.1,88,205,205,30.01,-2.44,,,,,9,0.77,7.77,31,-59,172,1565,334,-1480,337,-723.887,10124.529999999999,21051.432999999997,62655.66,-55,-188.9840000000001,-2068.7960000000003,-7818.092,3,2,-38930704,294.48400000000004,247.85000000000002,21.76,146,36830,47401,,-537.306,10019.029999999999,22872.378999999997,67011.312,54.93,69.99,65.53,78.92,true,false,1.55,1.74,
3,8271,宇瞻,TWSE,半導體業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 202.49 且法人籌碼轉弱，先減碼三分之一。,76.2,100,227,227,200.65,251.11,34.73,55.84,184.73,35.51,5.57,3.05,1.99,4,88,228,229,166,475,228,1601.972,4111.6179999999995,3510.861999999999,1105.248999999999,88.602,231.602,168.602,477.602,4,0,51878848,53.659,28.514,9.85,1323,2695,2898,,1468.507,3826.357,3313.7459999999996,447.94599999999946,60.21,76.26,76.3,76.18,false,true,9.05,2.02,ETF加碼金額或跨基金共識不足
4,2347,聯強,TWSE,電子通路業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 87.66 且法人籌碼轉弱，先減碼三分之一。,74.5,88,97.1,97.1,135.45,77.39,,,,,16.31,1.99,4.48,23,31,314,853,-1990,-5277,49,92.487,5505.785999999999,10432.902,16163.599999999999,33,104.499,-3087.8450000000003,-9052.625,4,1,9802006,-1860.0289999999998,-1683.3729999999996,29.77,141,26896,38986,,186.792,7261.316,15204.119999999999,29767.43,64.62,78.77,69.92,96.47,false,false,8.22,13.7,
5,8112,至上,TWSE,電子通路業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 86.17 且法人籌碼轉弱，先減碼三分之一。,74,88,86.2,86.2,231.17,153.98,,,,,10.27,2.43,4.46,7,0,-4,-4,1430,2370,0,9343.827,10541.871,13083.200999999997,3671.729999999996,0,-4.496,-389.981,550.0190000000002,0,1,-383059,439.799,-533.186,15.06,8717,19128,20829,,9262.742,10106.568,14006.368,3993.321,51.77,51.61,40.11,74.61,true,false,2.3,12.39,20日累積後5日轉為調節；20日趨勢尚未上彎
6,3706,神達,TWSE,電腦及週邊設備業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 87.70 且法人籌碼轉弱，先減碼三分之一。,73.8,88,91.9,91.9,80.93,44.8,,,,,17.42,1.82,4.38,15,-21,20,40,4030,13043,0,7265.652,11094.235000000002,13614.324000000004,16758.884000000005,-21,71,4071,13363,2,3,6482300,-74.97899999999998,-1394.089,8.59,6954,12459,10089,,7228.45,11098.213999999998,10937.412999999999,5837.561999999998,56.87,66.96,55.62,89.66,true,false,2.97,7.74,20日趨勢尚未上彎；ETF加碼金額或跨基金共識不足
7,2317,鴻海,TWSE,其他電子業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 246.46 且法人籌碼轉弱，先減碼三分之一。,73,85,258.5,258.5,52.11,34.99,,,,,17.76,1.97,2.87,44,-401,5725,15001,19813,34295,730,506.01,35514.441999999995,57534.94799999999,82608.25399999997,-520.491,4600.521,7829.019,11922.753,4,1,1150130250,3712.5679999999998,6148.9619999999995,40.29,-2450,54444,68629,,2130.602,27201.353,43556.967000000004,54463.421,57.42,73,61.33,96.36,true,false,4.69,9.07,外資持股趨勢資料不足或期間有非市場異動；借券賣出與借券賣出餘額壓力升高
8,3006,晶豪科,TWSE,半導體業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 210.36 且法人籌碼轉弱，先減碼三分之一。,72.5,100,239,239,328.35,242.62,44.44,36.84,267.13,27.58,6.86,3.26,0.46,4,0,0,5,-149,-383,0,6334.132,5964.918999999999,4278.935999999999,10678.305999999999,0,10,-141,-449,2,0,2175000,33.334,-119.89699999999999,35.91,6152,2150,12127,,6182.459,5921.584999999999,4539.833,12161.085,58.68,71.12,49.59,114.18,true,false,15.33,38.95,20日趨勢尚未上彎；短線過熱或乖離過大；高波動且5日漲幅過大
9,2451,創見,TWSE,半導體業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 273.40 且法人籌碼轉弱，先減碼三分之一。,72.4,100,282.5,282.5,381.55,422.17,73.7,28.68,309.01,46.63,4.95,3.19,4.14,18,-139,47,21,-939,-1295,-9,1035.622,677.1100000000005,-5839.12,-9867.244999999999,-138.276,34.72399999999999,-865.2760000000001,-1224.2759999999998,2,3,9878978,74.59500000000001,145.43300000000002,9.94,1799,-3231,-4157,,1171.638,567.7909999999998,-5119.277000000001,-8708.347000000002,55.92,78.87,79.15,78.32,false,true,5.54,4.82,主動ETF 5日轉為減碼；ETF加碼，但外資持股5/10日同步下降
10,2357,華碩,TWSE,電腦及週邊設備業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 723.79 且法人籌碼轉弱，先減碼三分之一。,71.9,88,838,838,55.63,38.85,,,,,14.4,2.09,5.21,44,276,321,1537,1636,1451,-270,1072.531,7031.222999999999,11951.519999999999,28613.073999999997,277,944.4089999999999,732.018,-1324.449,4,1,761193654,607.424,779.4029999999999,37.35,910,15457,21773,,936.812,5479.39,10440.099,27521.217,66.48,83.8,80.48,90.43,false,false,10.3,10.12,主動ETF 5日轉為減碼；ETF加碼金額或跨基金共識不足
11,6214,精誠,TWSE,資訊服務業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 137.13 且法人籌碼轉弱，先減碼三分之一。,71.7,88,153,153,76.9,37,,,,,15.72,2.15,4,7,0,-4,1,-2,-18,0,226.834,2083.394,3222.2599999999993,7632.701999999999,0,1.7999999999999998,-1.5430000000000001,208.532,1,1,270000,-40.781000000000006,1.2139999999999977,15.03,382,3888,6311,,288.757,2122.375,3222.589000000001,7387.094000000001,64.11,78.98,75.2,86.54,true,true,6.23,6.25,
12,3036,文曄,TWSE,電子通路業,等待確認,暫停加碼／跌破減碼,已有部位暫停加碼；若收盤跌破60日EMA約 217.15，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,71.6,88,225,225,188.09,114.03,,,,,15.07,2.39,3.67,26,439,1203,1656,1758,-3666,890,-232.516,-2906.157,-3815.071,-7331.728,2150,5352.516,5323.058999999999,-4058.5860000000007,5,0,1137409650,328.533,54.76700000000004,26.63,-6486,-15057,-12330,,-2253.292,-8587.206,-9192.896999999999,-2827.67,60.85,73.14,59.09,101.24,true,false,9.87,21.95,外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；短線過熱或乖離過大
13,2027,大成鋼,TWSE,鋼鐵工業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 41.48 且法人籌碼轉弱，先減碼三分之一。,71,88,44.35,44.35,43.73,30.28,,,,,12.94,1.31,3.39,9,-619,-2417,-629,3655,11645,1148,-956.049,10416.970000000001,38723.78,59765.655,-3573,2363.6980000000003,958.9420000000009,5348.952000000001,2,3,104593637,229.2070000000001,1202.035,22.19,3133,42850,53096,,3083.276,7824.064999999999,36562.803,50320.28799999999,59.57,68.35,66.43,72.19,true,true,3.62,2.54,20日累積後5日轉為調節；ETF 1/3日已轉為減碼
14,2376,技嘉,TWSE,電腦及週邊設備業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 327.72 且法人籌碼轉弱，先減碼三分之一。,70.2,88,342,342,68.55,48.36,,,,,15.51,3.44,3.61,32,-98,167,865,3330,6090,156,4381.89,6568.153,4309.418,3902.3019999999997,-97,589.9649999999999,1379.087,3011.922,3,2,195868380,-2487.868,-2115.944,21.02,4697,-1275,-744,,5591.552,8466.056,5046.275000000001,1523.8360000000002,52.93,47.74,44.75,53.71,true,false,1.91,6.38,ETF加碼，但外資持股5/10日同步下降；20日趨勢尚未上彎
15,2610,華航,TWSE,航運業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 21.06 且法人籌碼轉弱，先減碼三分之一。,69.9,88,22.6,22.6,28.82,16.09,,,,,8.77,1.33,3.61,17,403,-1265,-796,8555,26776,736,5556.593,68389.56,121596.941,159700.10799999998,403,-695.9869999999999,8687.446,-15581.729,4,1,-15624908,229.77700000000027,568.9920000000004,17.26,6394,120982,165066,,5860.037,68855.77,112340.50300000003,177290.90400000004,61.55,85.15,75.54,104.38,false,false,3.96,4.15,20日累積後5日轉為調節；20日趨勢尚未上彎；借券賣出與借券賣出餘額壓力升高
16,2615,萬海,TWSE,航運業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 81.49 且法人籌碼轉弱，先減碼三分之一。,69.7,87.2,85.4,85.4,32.7,6.39,,,,,7.95,0.84,3.48,11,-15,-38,96,313,-74,-15,941.669,11142.701000000001,24863.958000000002,52708.29,-15,145.857,378.979,-28.766999999999996,3,2,12558288,25.634,-614.332,44.75,767,43332,53089,,1149.657,10971.21,25099.311,53216.884000000005,57.38,61.86,62.08,61.41,true,true,2.11,0.47,ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼；ETF加碼金額或跨基金共識不足
