排名,代號,名稱,市場,產業,行動,分數,信心度,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,距20EMA%,5日報酬%,淘汰原因
1,2027,大成鋼,TWSE,鋼鐵工業,等回測或確認,77.4,93.8,40.65,40.65,43.73,30.28,18.07,41.61,366.04,1.17,11.99,1.22,3.66,8,1248,3075,4725,7818,36647,3884,5751,22180,22708,13272,1187,3500,5376,34463,3,2,142275000,1609,2148,20.53,294,10246,4770,-24905,3945,17073,15188,-21556,49.11,-0.26,1.62,20日趨勢尚未上彎；當下除權息調整價未守20日EMA；ETF加碼金額或跨基金共識不足
2,2637,慧洋-KY,TWSE,航運業,列入觀察,75.1,100,79.4,79.4,57.92,32.32,27.6,40.19,109.87,1.6,11.6,1.22,4.24,7,0,5,28,-613,-1466,0,28,2972,14485,14304,69,1075,1551,888,5,0,85355000,-46,169,24.71,42,5658,13298,14668,35,1941,12763,13522,52.56,0.48,-4.34,
3,6177,達麗,TWSE,建材營造,等回測或確認,73.4,100,47.5,47.5,1322.16,667.77,43.14,72.12,139.8,3.53,6.43,1.78,6.25,2,0,0,0,-15,1891,0,1234,3304,3490,532,0,237,223,2128,2,0,11257500,81,51,6.72,369,1224,820,-2130,1209,2985,3215,-2670,58.57,2.78,4.86,20日趨勢尚未上彎
4,3706,神達,TWSE,電腦及週邊設備業,等回測或確認,73.3,100,88.3,88.3,80.93,44.8,3.72,50.24,171.44,1.1,17.16,1.8,4.45,15,1587,1549,1553,14444,42421,226,-1315,-1886,-11704,-4925,1587,1836,14722,42700,2,2,162118800,-61,-2608,7.66,58,-2370,-22013,-36088,-2052,-3661,-23819,-44994,49.4,-0.64,-0.45,外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA
5,2812,台中銀,TWSE,金融保險業,等回測或確認,73.1,100,20.55,20.55,16.56,22.61,,90.8,,0.4,13.06,1.3,5.23,7,2874,2851,2840,2781,2754,0,20566,28474,53102,78717,2874,2825,2804,2807,1,4,58053750,255,-241,8.7,7643,9943,32363,54167,17703,25394,50540,75807,60.58,1.69,-0.24,ETF加碼金額或跨基金共識不足
6,9945,潤泰新,TWSE,其他,等回測或確認,72.1,100,26.25,26.25,29.57,40.43,17.71,41.18,181.95,0.99,7.54,0.67,4.1,5,0,0,0,-278,2847,0,2068,7957,201,-11267,0,0,-278,2847,0,0,0,80,69,6.82,2110,9334,-11876,-23308,2162,7880,413,-14142,52.01,0.34,1.55,20日趨勢尚未上彎
7,2395,研華,TWSE,電腦及週邊設備業,列入觀察,71.3,100,513,513,73.39,32.18,18.29,40.64,165.38,3.85,41.12,9.28,2.11,29,513,792,980,1260,2067,378,127,145,1900,4697,491,868,989,1559,4,1,445284000,106,236,35.69,-286,522,1227,2879,-341,-829,677,2861,52.96,0.35,-5,
8,4736,泰博,TWSE,生技醫療業,等回測或確認,70.8,100,129,129,2.09,1.25,25.4,23.84,273.12,2.99,7.12,1.29,3.85,2,28,28,28,28,28,0,75,417,648,720,28,28,28,28,1,0,3612000,-4,-3,6.08,-32,109,273,266,52,393,623,699,63.91,2.22,2.38,ETF加碼金額或跨基金共識不足
9,2059,川湖,TWSE,電子零組件業,等回測或確認,70.3,100,7890,7890,220.52,98.95,67.06,20.2,547.07,36.58,76.29,26.16,0.59,32,-16,30,76,177,312,21,-12,-46,-64,143,0,256,535,596,3,1,2019840000,27,24,23.93,-167,-448,-613,-414,-46,-330,-625,-489,56.98,2.58,-4.36,外資持股5/10日下降，且外資5日賣超
10,9942,茂順,TWSE,其他,等回測或確認,69.5,100,123,123,26.64,15.31,24.47,24.59,354.85,2.22,15.29,2.3,5.58,1,2,2,2,2,2,0,33,471,459,300,2,2,2,2,1,0,246000,174,175,4.69,141,308,296,86,12,295,282,121,62.48,2.33,2.5,ETF加碼金額或跨基金共識不足
11,3413,京鼎,TWSE,半導體業,列入觀察,69.3,100,371,371,39.75,17.7,13.07,42.48,150.31,4.28,20.29,2.66,2.87,3,0,0,0,0,0,0,-143,2838,4370,9992,0,88,1599,1484,1,0,32648000,266,223,28.45,1510,1743,2028,7439,93,2484,2547,8145,66.02,9.99,10.91,
12,6505,台塑化,TWSE,油電燃氣業,等回測或確認,68.1,100,81.3,81.3,18.46,8.2,15.13,17.92,451.26,2.14,28.67,2.03,1.5,10,3689,6455,7421,7703,6349,6195,14048,60995,71949,82194,7918,13246,13299,11017,4,1,1076899800,5530,5503,6.82,3521,36723,50484,58798,5814,42220,53148,66225,84.41,29.18,38.27,短線過熱或乖離過大
13,1808,潤隆,TWSE,建材營造,等回測或確認,66.9,100,32.2,32.2,162537.27,17993.12,22.8,73.51,175.66,1.06,11.98,2.09,4.67,1,0,0,0,0,0,0,1148,3020,3619,625,0,0,0,0,0,0,0,27,23,4.39,609,3080,3632,1114,1142,2993,3596,589,60.49,4.28,6.98,20日趨勢尚未上彎
14,2887,台新新光金,TWSE,金融保險業,列入觀察,66.9,100,35.55,35.55,329.5,334.28,,93.39,,0.82,17.72,1.59,3.04,33,20777,44330,67857,85971,116676,4560,20816,24519,130215,188040,19399,57294,66909,86857,5,0,2036801700,18670,22251,23.52,-21236,-23119,48969,101122,-9594,-51444,41055,72305,67.63,4.83,-3.53,
15,2845,遠東銀,TWSE,金融保險業,列入觀察,66.8,100,13.4,13.4,20.15,17.21,,92.01,,0.25,15.4,0.93,4.65,7,-68,536,537,3167,79742,0,6244,24755,40485,48878,-68,519,3135,79713,1,3,6954600,355,304,9.16,1957,14918,27063,-32031,6340,23881,37045,-31209,61.25,1.81,1.52,
